Date,Open,High,Low,Close,Volume
2021-01-01,29000.0,29574.0,28677.55,29533.16,3834122
2021-01-02,29533.16,30152.78,29394.51,29851.13,4287781
2021-01-03,29851.13,29990.16,28628.8,29396.81,5257598
2021-01-04,29396.81,30727.46,29129.88,30266.24,1613390
2021-01-05,30266.24,31921.0,29491.58,31849.09,3981290
2021-01-06,31849.09,32182.21,31657.79,32017.18,2825379
2021-01-07,32017.18,32610.23,31207.49,31374.92,3259994
2021-01-08,31374.92,31497.08,31089.26,31154.33,1227100
2021-01-09,31154.33,31215.67,29672.22,29737.23,5080298
2021-01-10,29737.23,30208.06,28584.43,28716.71,5545853
2021-01-11,28716.71,29603.68,28549.54,29090.79,5095529
2021-01-12,29090.79,30257.2,28846.66,30030.47,2800738
2021-01-13,30030.47,30705.33,29977.1,30408.68,2662585
2021-01-14,30408.68,31979.35,30386.79,31694.67,5399227
2021-01-15,31694.67,32334.79,31220.7,32127.53,3871260
2021-01-16,32127.53,36282.58,32099.57,35951.68,2815066
2021-01-17,35951.68,36820.67,35759.55,36103.1,1547998
2021-01-18,36103.1,36371.6,34857.77,35141.89,2543677
2021-01-19,35141.89,36422.29,34659.79,36302.94,3568930
2021-01-20,36302.94,36547.31,35805.32,35946.26,1572602
2021-01-21,35946.26,40233.88,35475.39,40129.12,14243791
2021-01-22,40129.12,40496.26,38442.9,38629.52,2458558
2021-01-23,38629.52,39117.7,35537.03,35840.24,2166785
2021-01-24,35840.24,37613.53,35817.17,37239.28,3884291
2021-01-25,37239.28,37329.17,37046.49,37172.14,8773844
2021-01-26,37172.14,40537.29,37092.47,39765.87,2316117
2021-01-27,39765.87,41071.33,39747.81,40818.64,3643547
2021-01-28,40818.64,41817.58,40029.27,41591.53,3404080
2021-01-29,41591.53,41948.18,40662.77,41026.88,4424826
2021-01-30,41026.88,41137.63,39862.26,40033.61,950887
2021-01-31,40033.61,41126.5,39951.28,40748.98,1588432
2021-02-01,40748.98,41051.03,39318.86,39323.99,3948651
2021-02-02,39323.99,39647.66,39087.5,39449.78,2140805
2021-02-03,39449.78,40807.72,39086.58,40616.13,2918670
2021-02-04,40616.13,42043.65,40385.88,41585.1,3010900
2021-02-05,41585.1,42389.59,41416.55,41418.56,2698855
2021-02-06,41418.56,41879.34,40397.94,40789.48,5680013
2021-02-07,40789.48,43013.3,40569.37,41735.73,1545490
2021-02-08,41735.73,41933.37,40927.57,41760.75,2140010
2021-02-09,41760.75,44310.11,41758.79,43796.8,1490457
2021-02-10,43796.8,50908.9,43698.93,50707.7,4671544
2021-02-11,50707.7,51635.88,50478.27,51598.3,4821158
2021-02-12,51598.3,53721.31,51487.83,53538.14,1753510
2021-02-13,53538.14,54123.94,53414.49,53916.19,2181518
2021-02-14,53916.19,55994.28,53332.25,55965.53,5536654
2021-02-15,55965.53,56490.39,53160.59,53322.93,3717655
2021-02-16,53322.93,53886.7,53018.51,53420.91,5767693
2021-02-17,53420.91,55618.01,52805.2,55258.06,1543581
2021-02-18,55258.06,55731.03,49755.72,49830.38,3507638
2021-02-19,49830.38,51447.87,49560.66,50498.34,4820612
2021-02-20,50498.34,50760.28,50275.63,50464.63,1714088
2021-02-21,50464.63,50677.75,49110.31,49163.01,2563518
2021-02-22,49163.01,52178.67,48287.27,51953.22,2329798
2021-02-23,51953.22,52131.49,49055.51,49188.85,10043169
2021-02-24,49188.85,50135.05,47840.64,47882.09,2430381
2021-02-25,47882.09,48008.22,46463.26,46790.37,4412483
2021-02-26,46790.37,47770.07,45899.66,46049.04,4249468
2021-02-27,46049.04,51274.8,45787.59,51231.68,3520420
2021-02-28,51231.68,53668.91,50701.74,53385.22,3620567
2021-03-01,53385.22,54591.54,53117.53,54337.75,5555612
2021-03-02,54337.75,54809.45,52897.51,53119.82,3091882
2021-03-03,53119.82,53713.11,49520.68,50302.85,2001484
2021-03-04,50302.85,50717.68,47670.7,48173.13,6345369
