Date,Open,High,Low,Close,Volume,Name,Market_Cap
2021-01-01,29000.0,29574.0,28677.55,29533.16,3834122,BTC-USD,95640943774.39156
2021-01-02,29533.16,30152.78,29394.51,29851.13,4287781,BTC-USD,109960409137.75342
2021-01-03,29851.13,29990.16,28628.8,29396.81,5257598,BTC-USD,150113006034.55338
2021-01-04,29396.81,30727.46,29129.88,30266.24,1613390,BTC-USD,42887660739.8492
2021-01-05,30266.24,31921.0,29491.58,31849.09,3981290,BTC-USD,102852916703.51689
2021-01-06,31849.09,32182.21,31657.79,32017.18,2825379,BTC-USD,101497407934.75713
2021-01-07,32017.18,32610.23,31207.49,31374.92,3259994,BTC-USD,82624364188.71063
2021-01-08,31374.92,31497.08,31089.26,31154.33,1227100,BTC-USD,43286314783.06908
2021-01-09,31154.33,31215.67,29672.22,29737.23,5080298,BTC-USD,129567336349.16252
2021-01-10,29737.23,30208.06,28584.43,28716.71,5545853,BTC-USD,189497309896.73807
2021-01-11,28716.71,29603.68,28549.54,29090.79,5095529,BTC-USD,154391979214.05545
2021-01-12,29090.79,30257.2,28846.66,30030.47,2800738,BTC-USD,92013008579.31595
2021-01-13,30030.47,30705.33,29977.1,30408.68,2662585,BTC-USD,68350709690.57153
2021-01-14,30408.68,31979.35,30386.79,31694.67,5399227,BTC-USD,195912990688.67297
2021-01-15,31694.67,32334.79,31220.7,32127.53,3871260,BTC-USD,141248708124.82385
2021-01-16,32127.53,36282.58,32099.57,35951.68,2815066,BTC-USD,107399886508.28687
2021-01-17,35951.68,36820.67,35759.55,36103.1,1547998,BTC-USD,55938381216.0288
2021-01-18,36103.1,36371.6,34857.77,35141.89,2543677,BTC-USD,97309150301.0797
2021-01-19,35141.89,36422.29,34659.79,36302.94,3568930,BTC-USD,103957351442.80922
2021-01-20,36302.94,36547.31,35805.32,35946.26,1572602,BTC-USD,58619399683.122665
2021-01-21,35946.26,40233.88,35475.39,40129.12,14243791,BTC-USD,651020458292.4832
2021-01-22,40129.12,40496.26,38442.9,38629.52,2458558,BTC-USD,89536661466.68616
2021-01-23,38629.52,39117.7,35537.03,35840.24,2166785,BTC-USD,65490293571.25641
2021-01-24,35840.24,37613.53,35817.17,37239.28,3884291,BTC-USD,140070214784.23953
2021-01-25,37239.28,37329.17,37046.49,37172.14,8773844,BTC-USD,355769927840.9475
2021-01-26,37172.14,40537.29,37092.47,39765.87,2316117,BTC-USD,77635005943.70302
2021-01-27,39765.87,41071.33,39747.81,40818.64,3643547,BTC-USD,131237505278.05132
2021-01-28,40818.64,41817.58,40029.27,41591.53,3404080,BTC-USD,121620925393.19487
2021-01-29,41591.53,41948.18,40662.77,41026.88,4424826,BTC-USD,203099584080.85028
2021-01-30,41026.88,41137.63,39862.26,40033.61,950887,BTC-USD,31411615885.010788
2021-01-31,40033.61,41126.5,39951.28,40748.98,1588432,BTC-USD,69557856399.17607
2021-02-01,40748.98,41051.03,39318.86,39323.99,3948651,BTC-USD,146982260311.80054
2021-02-02,39323.99,39647.66,39087.5,39449.78,2140805,BTC-USD,93095353013.99448
2021-02-03,39449.78,40807.72,39086.58,40616.13,2918670,BTC-USD,140565227986.5952
2021-02-04,40616.13,42043.65,40385.88,41585.1,3010900,BTC-USD,105903683684.33755
2021-02-05,41585.1,42389.59,41416.55,41418.56,2698855,BTC-USD,103483272150.45494
2021-02-06,41418.56,41879.34,40397.94,40789.48,5680013,BTC-USD,260425312846.6941
2021-02-07,40789.48,43013.3,40569.37,41735.73,1545490,BTC-USD,58468838299.96437
2021-02-08,41735.73,41933.37,40927.57,41760.75,2140010,BTC-USD,79184733457.35533
2021-02-09,41760.75,44310.11,41758.79,43796.8,1490457,BTC-USD,73773158607.39417
2021-02-10,43796.8,50908.9,43698.93,50707.7,4671544,BTC-USD,283035913379.20074
2021-02-11,50707.7,51635.88,50478.27,51598.3,4821158,BTC-USD,254423483999.35086
2021-02-12,51598.3,53721.31,51487.83,53538.14,1753510,BTC-USD,85544980310.47894
2021-02-13,53538.14,54123.94,53414.49,53916.19,2181518,BTC-USD,112846905272.6189
2021-02-14,53916.19,55994.28,53332.25,55965.53,5536654,BTC-USD,268976174555.58063
2021-02-15,55965.53,56490.39,53160.59,53322.93,3717655,BTC-USD,219002478932.9172
2021-02-16,53322.93,53886.7,53018.51,53420.91,5767693,BTC-USD,341820032164.4406
2021-02-17,53420.91,55618.01,52805.2,55258.06,1543581,BTC-USD,98093713272.00328
2021-02-18,55258.06,55731.03,49755.72,49830.38,3507638,BTC-USD,141689459769.6934
2021-02-19,49830.38,51447.87,49560.66,50498.34,4820612,BTC-USD,249468222973.09702
2021-02-20,50498.34,50760.28,50275.63,50464.63,1714088,BTC-USD,76613961387.8291
2021-02-21,50464.63,50677.75,49110.31,49163.01,2563518,BTC-USD,118008839029.96445
2021-02-22,49163.01,52178.67,48287.27,51953.22,2329798,BTC-USD,134836977027.90152
2021-02-23,51953.22,52131.49,49055.51,49188.85,10043169,BTC-USD,433156313129.9493
2021-02-24,49188.85,50135.05,47840.64,47882.09,2430381,BTC-USD,122811348859.75699
2021-02-25,47882.09,48008.22,46463.26,46790.37,4412483,BTC-USD,219226512383.31467
2021-02-26,46790.37,47770.07,45899.66,46049.04,4249468,BTC-USD,231227473184.26996
2021-02-27,46049.04,51274.8,45787.59,51231.68,3520420,BTC-USD,200207914141.88284
2021-02-28,51231.68,53668.91,50701.74,53385.22,3620567,BTC-USD,216759985144.63757
2021-03-01,53385.22,54591.54,53117.53,54337.75,5555612,BTC-USD,305695302721.4916
2021-03-02,54337.75,54809.45,52897.51,53119.82,3091882,BTC-USD,143662940233.98685
2021-03-03,53119.82,53713.11,49520.68,50302.85,2001484,BTC-USD,97682626889.47008
2021-03-04,50302.85,50717.68,47670.7,48173.13,6345369,BTC-USD,311727401340.4504
2021-03-05,48173.13,49016.31,47364.64,48977.75,1280505,BTC-USD,67192168590.47623
2021-03-06,48977.75,52061.45,48736.71,51788.03,1523123,BTC-USD,82277957679.26309
2021-03-07,51788.03,52725.71,51195.38,52166.98,5019959,BTC-USD,250770231651.17734
2021-03-08,52166.98,52867.06,49819.9,51074.6,3146288,BTC-USD,145610159324.54047
2021-03-09,51074.6,51226.95,49875.3,50071.6,3071686,BTC-USD,133393232477.43095
2021-03-10,50071.6,51085.41,49211.62,49770.81,9545711,BTC-USD,511935972676.3825
2021-03-11,49770.81,49894.9,48331.05,49223.8,4001946,BTC-USD,208447881005.5826
2021-03-12,49223.8,49469.1,48515.24,49428.21,2698633,BTC-USD,143385938889.162
2021-03-13,49428.21,51129.97,48646.42,51010.75,3400743,BTC-USD,164629158930.8574
2021-03-14,51010.75,53081.26,50862.88,52955.5,2976883,BTC-USD,142660494148.57858
2021-03-15,52955.5,53521.85,48612.78,49777.37,2742091,BTC-USD,150674247627.92355
2021-03-16,49777.37,50191.5,47288.93,48051.25,2646930,BTC-USD,141110193423.59885
2021-03-17,48051.25,51494.94,47740.09,50527.38,4273797,BTC-USD,212110018136.7808
2021-03-18,50527.38,52653.78,50249.86,52063.72,955894,BTC-USD,51995067596.015594
2021-03-19,52063.72,52661.2,51076.2,52220.4,4410711,BTC-USD,218676252311.41965
2021-03-20,52220.4,52369.32,51600.74,51965.44,2015634,BTC-USD,113204354776.58916
2021-03-21,51965.44,55013.9,51510.45,54630.56,2906836,BTC-USD,180127393447.264
2021-03-22,54630.56,54898.88,52083.48,52797.54,2472622,BTC-USD,140377777132.25067
2021-03-23,52797.54,53503.89,51121.01,51375.26,3189134,BTC-USD,164667216485.56747
2021-03-24,51375.26,52197.58,49941.39,50266.26,2671691,BTC-USD,132075087591.65134
2021-03-25,50266.26,54202.35,49647.12,53280.43,3594057,BTC-USD,202394183618.32684
2021-03-26,53280.43,56194.01,52952.34,55943.7,6703174,BTC-USD,401972014598.99677
2021-03-27,55943.7,57202.57,55752.12,56506.12,8501598,BTC-USD,491677586154.9357
2021-03-28,56506.12,57305.12,55983.92,57194.58,4908251,BTC-USD,294755140267.1835
2021-03-29,57194.58,57559.04,54085.03,54547.88,2046982,BTC-USD,93640802861.29417
2021-03-30,54547.88,55380.98,54546.99,55238.52,2641833,BTC-USD,172301572484.07886
2021-03-31,55238.52,57812.56,54927.38,57759.67,11636169,BTC-USD,750272861008.7144
2021-04-01,57759.67,60877.62,57642.35,60641.17,3351056,BTC-USD,192964210868.90866
2021-04-02,60641.17,64937.06,60488.85,64120.17,2605412,BTC-USD,171256836715.92743
2021-04-03,64120.17,65377.76,59499.05,59630.28,1274492,BTC-USD,62237285670.17213
2021-04-04,59630.28,62109.99,59355.54,61711.5,4382162,BTC-USD,220803523847.50717
2021-04-05,61711.5,62455.69,57419.34,58483.33,5164416,BTC-USD,271925469845.26257
2021-04-06,58483.33,59671.79,53218.19,54090.01,2177139,BTC-USD,126697288009.25098
2021-04-07,54090.01,55708.23,54066.37,55204.69,5591963,BTC-USD,352186151771.55304
2021-04-08,55204.69,55602.4,54926.88,55406.83,5513203,BTC-USD,312700884405.1384
2021-04-09,55406.83,55449.37,53824.53,55004.85,4224749,BTC-USD,235368509100.19495
2021-04-10,55004.85,55643.09,51678.62,52714.06,2962041,BTC-USD,150039804074.12103
2021-04-11,52714.06,52736.02,50413.04,50504.71,2218593,BTC-USD,96882298207.11694
2021-04-12,50504.71,50756.91,50116.47,50597.2,2212930,BTC-USD,94875201169.25816
2021-04-13,50597.2,53937.13,50158.6,53801.3,4137152,BTC-USD,245793429741.98267
2021-04-14,53801.3,54286.51,53024.4,53180.57,2560249,BTC-USD,159438285272.04602
2021-04-15,53180.57,54411.06,53140.55,53717.55,2110627,BTC-USD,111485810022.54842
2021-04-16,53717.55,54358.54,51745.93,52450.39,1700055,BTC-USD,94855562905.90427
2021-04-17,52450.39,57583.97,51357.08,57226.86,6553119,BTC-USD,437185462393.1081
2021-04-18,57226.86,57837.73,53142.68,53263.05,4974690,BTC-USD,221524591201.39932
2021-04-19,53263.05,54168.36,52934.37,53295.38,1742060,BTC-USD,102888754613.68929
2021-04-20,53295.38,55589.15,52870.36,55566.19,3515182,BTC-USD,204452186730.9615
2021-04-21,55566.19,59157.07,55407.28,59113.03,7972880,BTC-USD,489896218767.7494
2021-04-22,59113.03,61794.67,58734.36,61741.72,2175149,BTC-USD,123152924730.06827
2021-04-23,61741.72,65969.7,61733.72,65794.71,2109898,BTC-USD,149031366588.36868
2021-04-24,65794.71,66108.44,64915.43,65404.64,1121973,BTC-USD,82035408011.2522
2021-04-25,65404.64,71431.13,65023.6,70041.52,3724537,BTC-USD,220474410811.3486
2021-04-26,70041.52,70758.61,69786.74,69935.85,3540458,BTC-USD,250924968376.89963
2021-04-27,69935.85,71568.8,69580.29,71110.99,1756932,BTC-USD,105010453316.25804
2021-04-28,71110.99,71362.12,63955.54,64172.19,2660598,BTC-USD,196181179140.06845
2021-04-29,64172.19,64449.77,62798.02,63141.18,5484631,BTC-USD,347363930578.68884
2021-04-30,63141.18,63368.98,57623.93,58324.54,2665660,BTC-USD,174625581587.69385
2021-05-01,58324.54,58912.5,53652.12,54222.32,2144093,BTC-USD,110123272782.18771
2021-05-02,54222.32,54231.02,50852.27,51277.57,1082119,BTC-USD,47166904128.58092
2021-05-03,51277.57,52150.64,51192.86,51751.71,4344704,BTC-USD,183609067892.64218
2021-05-04,51751.71,51958.91,49901.14,50218.91,10174004,BTC-USD,466274303429.84564
2021-05-05,50218.91,50714.36,49670.83,50588.79,2172739,BTC-USD,98671089313.28069
2021-05-06,50588.79,53526.93,50063.91,53312.59,2533194,BTC-USD,138311374103.24783
2021-05-07,53312.59,53834.4,52636.4,52862.33,2479771,BTC-USD,106009045384.0601
2021-05-08,52862.33,55231.02,52643.78,54698.49,8355227,BTC-USD,460778746585.6767
2021-05-09,54698.49,55379.3,53180.94,53271.81,4964299,BTC-USD,253008496582.06226
2021-05-10,53271.81,54510.23,51519.45,51664.1,1862174,BTC-USD,99175441416.26207
2021-05-11,51664.1,61642.56,51211.76,61563.01,3621160,BTC-USD,240979445380.6318
2021-05-12,61563.01,62364.46,60127.4,60326.04,2584026,BTC-USD,164245174338.68918
2021-05-13,60326.04,60584.92,58801.38,59536.63,1886666,BTC-USD,134100949688.55057
2021-05-14,59536.63,61541.72,59062.42,60716.75,4548861,BTC-USD,236228760743.69354
2021-05-15,60716.75,62602.44,60078.14,61787.56,2888697,BTC-USD,173469168070.26877
2021-05-16,61787.56,62286.44,61608.18,61707.75,4817358,BTC-USD,288330146777.08124
2021-05-17,61707.75,63748.71,61264.5,62788.19,5141954,BTC-USD,312142103241.4438
2021-05-18,62788.19,63199.53,61350.45,61373.18,4052012,BTC-USD,264978534035.9375
2021-05-19,61373.18,63925.43,61018.25,63813.15,2073443,BTC-USD,131774577533.6666
2021-05-20,63813.15,64841.79,61580.67,61931.92,5748470,BTC-USD,358496276797.0601
2021-05-21,61931.92,67268.69,61744.2,66885.05,5857599,BTC-USD,381185017248.177
2021-05-22,66885.05,70080.82,65858.58,69386.53,13230248,BTC-USD,1098553238477.927
2021-05-23,69386.53,73334.59,68992.61,73321.45,2926269,BTC-USD,251253018264.11743
2021-05-24,73321.45,73997.2,70259.8,71268.22,3479930,BTC-USD,228934009068.83643
2021-05-25,71268.22,71998.21,70154.14,70698.89,2392825,BTC-USD,142887398062.5013
2021-05-26,70698.89,77247.28,70018.21,77132.35,3563590,BTC-USD,312224260871.1864
2021-05-27,77132.35,82204.73,77122.32,81843.83,3371216,BTC-USD,330783569009.9581
2021-05-28,81843.83,82580.86,76024.6,77075.25,4804001,BTC-USD,339553331155.05005
2021-05-29,77075.25,78722.39,76900.09,78043.41,4751591,BTC-USD,349735297446.59784
2021-05-30,78043.41,81277.26,77118.43,80866.91,2338406,BTC-USD,222504742663.81827
2021-05-31,80866.91,83937.71,80732.33,83635.8,2006715,BTC-USD,182007032661.21915
2021-06-01,83635.8,83940.34,81730.17,83661.21,812602,BTC-USD,62425997061.62321
2021-06-02,83661.21,87203.8,83144.69,86291.59,1793922,BTC-USD,159818792830.97632
2021-06-03,86291.59,86483.5,82305.32,83223.3,5813612,BTC-USD,569800254786.6002
2021-06-04,83223.3,84755.61,82591.1,83657.94,3263544,BTC-USD,307074024564.20844
2021-06-05,83657.94,85814.83,82788.77,83539.62,2074401,BTC-USD,190057999518.5658
2021-06-06,83539.62,84245.07,78736.97,80972.43,2934821,BTC-USD,260167470334.1425
2021-06-07,80972.43,81898.0,78650.88,80137.26,1993113,BTC-USD,139151640417.9003
2021-06-08,80137.26,80809.72,79956.94,80630.28,5979192,BTC-USD,544715965073.3926
2021-06-09,80630.28,81713.09,80527.32,81361.36,4314847,BTC-USD,319623339958.50183
2021-06-10,81361.36,81462.16,76228.94,76445.71,2841071,BTC-USD,254575825826.36606
2021-06-11,76445.71,78337.49,75476.36,77524.39,1681887,BTC-USD,123327575248.18623
2021-06-12,77524.39,82670.62,76906.56,82092.46,3147485,BTC-USD,295350388589.5284
2021-06-13,82092.46,82633.37,81113.4,81290.21,8648838,BTC-USD,637324557844.2793
2021-06-14,81290.21,84411.14,80609.25,83339.27,6478455,BTC-USD,543047004077.2585
2021-06-15,83339.27,88273.3,83080.63,87374.53,3463680,BTC-USD,255048925342.39575
2021-06-16,87374.53,89651.49,83337.2,83636.22,2437211,BTC-USD,216894513599.5175
2021-06-17,83636.22,83765.05,82609.3,83155.54,4856480,BTC-USD,458132551145.8109
2021-06-18,83155.54,83707.38,81924.74,83044.05,6253820,BTC-USD,564722127209.4457
2021-06-19,83044.05,87474.75,82977.9,85749.54,5425702,BTC-USD,469579873431.2008
2021-06-20,85749.54,86850.68,79453.04,79592.67,6545547,BTC-USD,426183794055.0471
2021-06-21,79592.67,83793.93,78788.67,83099.17,2963463,BTC-USD,288957216694.52136
2021-06-22,83099.17,85069.97,79487.38,80000.1,2999761,BTC-USD,259706629712.36273
2021-06-23,80000.1,80456.37,79457.93,80012.13,1527858,BTC-USD,134269656142.21446
2021-06-24,80012.13,80543.83,77869.42,79346.34,2814037,BTC-USD,249602464998.53424
2021-06-25,79346.34,81288.41,78981.28,80688.06,2885285,BTC-USD,255878714673.74533
2021-06-26,80688.06,80910.05,77569.74,78076.1,4881331,BTC-USD,372138675274.5609
2021-06-27,78076.1,78942.64,77426.87,78902.94,3626600,BTC-USD,312889700921.0203
2021-06-28,78902.94,79423.24,78084.17,78569.85,2541202,BTC-USD,209647092359.29883
2021-06-29,78569.85,78651.6,77141.64,77504.8,4214724,BTC-USD,372918720746.06586
2021-06-30,77504.8,77947.73,73725.22,74193.71,11149677,BTC-USD,927318149187.1484
2021-07-01,74193.71,75823.98,72534.98,74550.09,2343206,BTC-USD,142639988312.06873
2021-07-02,74550.09,75204.92,68349.36,68765.13,3218817,BTC-USD,210619402092.44543
2021-07-03,68765.13,70194.1,68101.12,70053.49,2133539,BTC-USD,121644978574.67738
2021-07-04,70053.49,70678.51,70023.18,70235.33,5472448,BTC-USD,323180727159.73486
2021-07-05,70235.33,71287.47,69460.14,70677.67,3493040,BTC-USD,256894437132.37903
2021-07-06,70677.67,72369.24,70226.85,71137.62,2579038,BTC-USD,210900156392.89212
2021-07-07,71137.62,71813.66,69401.94,70052.22,4400304,BTC-USD,261375294840.17697
2021-07-08,70052.22,80103.99,69207.03,80028.16,2172810,BTC-USD,170484031333.2346
2021-07-09,80028.16,81459.99,79847.52,81140.83,3274603,BTC-USD,309372873627.2844
2021-07-10,81140.83,84788.64,80037.43,83544.33,4747490,BTC-USD,446489831822.78955
2021-07-11,83544.33,87365.22,83321.62,85515.31,2674599,BTC-USD,230518532534.6905
2021-07-12,85515.31,87252.96,84995.46,87211.14,3588714,BTC-USD,346973958710.94556
2021-07-13,87211.14,87380.41,85623.75,85935.66,3567300,BTC-USD,309341065652.3764
2021-07-14,85935.66,86764.96,80127.33,80577.7,3947550,BTC-USD,274582288508.29706
2021-07-15,80577.7,85129.33,79207.08,85073.4,2667770,BTC-USD,192888868367.33572
2021-07-16,85073.4,85224.61,80664.18,81496.45,4658379,BTC-USD,332318029065.78925
2021-07-17,81496.45,82737.45,81315.19,82273.36,1842291,BTC-USD,142533087743.71176
2021-07-18,82273.36,82794.37,80774.34,82025.66,2312976,BTC-USD,222395970615.43887
2021-07-19,82025.66,82225.26,81394.06,81976.81,2339480,BTC-USD,214772410422.32452
2021-07-20,81976.81,82460.44,81909.47,82271.7,5715246,BTC-USD,457564241218.9112
2021-07-21,82271.7,83721.52,81893.31,83340.86,4429322,BTC-USD,368121229651.70044
2021-07-22,83340.86,89709.38,81975.64,89420.33,6924105,BTC-USD,561106052861.9183
2021-07-23,89420.33,92085.76,89022.72,90653.68,1987369,BTC-USD,194888993920.55713
2021-07-24,90653.68,95177.89,88874.31,93570.54,2696512,BTC-USD,282870901175.84503
2021-07-25,93570.54,94808.4,92433.51,94739.92,4737605,BTC-USD,401964278849.4219
2021-07-26,94739.92,98779.78,94585.72,97951.1,2072161,BTC-USD,165771780970.29114
2021-07-27,97951.1,98376.45,96791.93,98000.93,2349343,BTC-USD,241647365921.20016
2021-07-28,98000.93,101701.39,97539.24,101608.34,5595997,BTC-USD,582817721336.3252
2021-07-29,101608.34,104975.44,101504.93,103957.93,2850440,BTC-USD,284725414832.9685
2021-07-30,103957.93,105750.85,102363.48,104828.05,5028155,BTC-USD,557429803767.8867
2021-07-31,104828.05,110187.78,102610.14,109574.86,2950168,BTC-USD,329808833412.202
2021-08-01,109574.86,119335.2,108939.66,117952.51,3229854,BTC-USD,342961072761.4409
2021-08-02,117952.51,119385.07,115124.97,117154.34,5595881,BTC-USD,628762938612.6727
2021-08-03,117154.34,127522.0,115196.08,126983.54,2951974,BTC-USD,364073396526.61725
